labels	start	stop
noEnergy	0.0	1.12
noise	1.12	2.34
noEnergy	2.34	2.94
noise	2.94	4.26
noEnergy	4.26	4.96
noise	4.96	8.92
noEnergy	8.92	10.36
noise	10.36	11.700000000000001
noEnergy	11.700000000000001	12.34
noise	12.34	14.64
speech	14.64	29.82
noEnergy	29.82	30.22
speech	30.22	48.160000000000004
noise	48.160000000000004	49.6
noEnergy	49.6	51.120000000000005
noise	51.120000000000005	57.0
noEnergy	57.0	58.04
speech	58.04	84.48
noEnergy	84.48	84.96000000000001
speech	84.96000000000001	87.64
noEnergy	87.64	88.22
speech	88.22	91.74
noEnergy	91.74	92.3
speech	92.3	111.46000000000001
noEnergy	111.46000000000001	112.06
speech	112.06	151.04
noEnergy	151.04	151.92000000000002
speech	151.92000000000002	167.72
noEnergy	167.72	168.38
speech	168.38	191.48000000000002
noEnergy	191.48000000000002	192.0
speech	192.0	194.94
noEnergy	194.94	195.36
speech	195.36	198.52
noEnergy	198.52	199.06
speech	199.06	200.54
noEnergy	200.54	201.02
speech	201.02	222.26
noEnergy	222.26	223.48000000000002
speech	223.48000000000002	231.5
noEnergy	231.5	232.34
speech	232.34	248.94
noEnergy	248.94	249.44
speech	249.44	254.52
noEnergy	254.52	254.92000000000002
speech	254.92000000000002	284.28000000000003
noEnergy	284.28000000000003	284.88
speech	284.88	296.28000000000003
noEnergy	296.28000000000003	296.94
speech	296.94	325.28000000000003
noEnergy	325.28000000000003	326.14
speech	326.14	422.74
noEnergy	422.74	423.22
speech	423.22	443.22
noEnergy	443.22	443.76
speech	443.76	482.38
noEnergy	482.38	483.22
speech	483.22	487.78000000000003
noEnergy	487.78000000000003	489.04
speech	489.04	493.94
noEnergy	493.94	494.54
speech	494.54	501.38
noEnergy	501.38	502.06
speech	502.06	506.66
noEnergy	506.66	507.6
speech	507.6	511.62
noEnergy	511.62	512.7
speech	512.7	524.6800000000001
noEnergy	524.6800000000001	525.62
speech	525.62	530.88
noEnergy	530.88	531.46
speech	531.46	539.22
noEnergy	539.22	539.84
speech	539.84	549.34
noEnergy	549.34	549.86
speech	549.86	554.38
noEnergy	554.38	554.94
speech	554.94	562.74
noEnergy	562.74	563.2
speech	563.2	573.46
noEnergy	573.46	583.2
noise	583.2	583.62
